record_id,process_type,material,pulse_width_ps,frequency_kHz,laser_power_W,scan_speed_mm_s,passes,focus_offset_um,fill_pattern,hatch_spacing_um,layer_step_um,path_overlap_um,material_thickness_um,cut_length_mm,power_W,depth_um,Sa_um,Sq_um,Sz_um,removal_rate_um3_s,cut_through,kerf_top_width_um,kerf_bottom_width_um,kerf_taper_deg,cut_edge_Sa_um,HAZ_width_um,chipping_um,objective_mode,source_file,valid_flag,note,target_depth_um,log_pulse_width,log_frequency,log_hatch_spacing,log_passes,log_scan_speed,D_proxy,pulse_density_proxy,pulse_energy_uJ,areal_energy_proxy,line_energy_proxy,pulse_spacing_um,layer_count_proxy,pulse_energy_proxy,energy_density_proxy
AlSiC.csv:16,milling,AlSiC,0.223,20,,100.0,2,,none,2.0,,,,,,45.416,6.731,11.206,63.143,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,2.995732273553991,0.6931471805599453,0.6931471805599453,4.605170185988092,0.2,0.2,,,,5.0,,,
AlSiC.csv:17,milling,AlSiC,0.223,20,,175.0,1,,none,4.0,,,,,,15.549,2.537,3.105,16.526,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,2.995732273553991,1.3862943611198906,0.0,5.1647859739235145,0.02857142857142857,0.02857142857142857,,,,8.75,,,
AlSiC.csv:18,milling,AlSiC,0.223,20,,200.0,1,,none,4.0,,,,,,16.516,2.903,3.425,16.065,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,2.995732273553991,1.3862943611198906,0.0,5.298317366548036,0.025,0.025,,,,10.0,,,
AlSiC.csv:19,milling,AlSiC,0.223,20,,100.0,5,,none,4.0,,,,,,60.576,4.215,5.424,39.225,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,2.995732273553991,1.3862943611198906,1.6094379124341003,4.605170185988092,0.25,0.25,,,,5.0,,,
AlSiC.csv:20,milling,AlSiC,0.223,20,,100.0,3,,none,6.0,,,,,,23.744,2.026,2.449,15.112,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,2.995732273553991,1.791759469228055,1.0986122886681098,4.605170185988092,0.1,0.1,,,,5.0,,,
AlSiC.csv:21,milling,AlSiC,0.223,20,,200.0,3,,none,6.0,,,,,,22.73,2.281,2.758,15.495,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,2.995732273553991,1.791759469228055,1.0986122886681098,5.298317366548036,0.05,0.05,,,,10.0,,,
AlSiC.csv:22,milling,AlSiC,0.223,40,,100.0,4,,none,8.0,,,,,,40.776,2.948,3.762,26.846,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,3.6888794541139363,2.0794415416798357,1.3862943611198906,4.605170185988092,0.2,0.2,,,,2.5,,,
AlSiC.csv:23,milling,AlSiC,0.223,40,,200.0,5,,none,10.0,,,,,,40.3,3.052,3.793,28.153,,,,,,,,,,AlSiC.csv,True,,,-1.5005835075220182,3.6888794541139363,2.302585092994046,1.6094379124341003,5.298317366548036,0.1,0.1,,,,5.0,,,
AlSiC.csv:24,milling,AlSiC,0.5,2,,150.0,3,,none,2.0,,,,,,7.306,1.267,1.875,15.61,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,5.0106352940962555,0.02,0.02,,,,75.0,,,
AlSiC.csv:25,milling,AlSiC,0.5,2,,200.0,1,,none,10.0,,,,,,0.2,1.548,2.011,10.556,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,0.6931471805599453,2.302585092994046,0.0,5.298317366548036,0.001,0.001,,,,100.0,,,
AlSiC.csv:26,milling,AlSiC,0.5,5,,150.0,4,,none,2.0,,,,,,22.421,1.626,2.064,13.469,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,1.6094379124341003,0.6931471805599453,1.3862943611198906,5.0106352940962555,0.06666666666666667,0.06666666666666667,,,,30.0,,,
AlSiC.csv:27,milling,AlSiC,0.5,5,,175.0,1,,none,4.0,,,,,,2.243,1.344,1.876,12.053,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,1.6094379124341003,1.3862943611198906,0.0,5.1647859739235145,0.007142857142857143,0.007142857142857143,,,,35.0,,,
