process_type,material,rank,recommendation_type,pulse_width_ps,frequency_kHz,laser_power_W,hatch_spacing_um,passes,scan_speed_mm_s,focus_offset_um,layer_step_um,fill_pattern,predicted_depth_um,predicted_depth_std_um,predicted_Sa_um,predicted_Sa_std_um,predicted_cut_through,predicted_cut_through_std,predicted_kerf_top_width_um,predicted_kerf_taper_deg,predicted_cut_edge_Sa_um,predicted_chipping_um,objective_value,acquisition_score,roughness_model_available,note
milling,AlSiC,1,exploitation,0.223,5.0,,4.0,4.0,175.0,,,none,10.330324149455215,4.420301507379554,1.3371144439048857,1.8245066636350422,,,,,,,0.1713078464405723,-0.1713078464405723,True,target_depth not configured; using observed median depth
milling,AlSiC,2,exploitation,0.5,5.0,,4.0,4.0,175.0,,,none,9.85837433514536,3.125297998666599,1.2354857405387067,1.482417527737481,,,,,,,0.18705986926794718,-0.18705986926794718,True,target_depth not configured; using observed median depth
milling,AlSiC,3,exploitation,0.5,2.0,,2.0,5.0,175.0,,,none,10.158231350903701,5.408372850904053,1.50703705477094,1.949844338685731,,,,,,,0.20335166251976639,-0.20335166251976639,True,target_depth not configured; using observed median depth
milling,AlSiC,4,exploitation,0.223,2.0,,2.0,4.0,175.0,,,none,10.26742672234076,3.7880656713340475,1.632625901031874,1.543223362574883,,,,,,,0.21267723761485458,-0.21267723761485458,True,target_depth not configured; using observed median depth
milling,AlSiC,5,exploitation,0.5,5.0,,4.0,5.0,200.0,,,none,11.076472981015932,4.491646369739778,1.3730438208970828,1.808273938927921,,,,,,,0.2183777301752859,-0.2183777301752859,True,target_depth not configured; using observed median depth
milling,CFRP,1,exploitation,4.0,2.0,,2.0,3.0,1.0,,,none,16.158977399730098,3.9035491656014956,1.30460591487934,0.5313712429760075,,,,,,,0.1945865804634932,-0.1945865804634932,True,target_depth not configured; using observed median depth
milling,CFRP,2,exploitation,4.0,2.0,,3.0,3.0,1.0,,,none,16.586127838301746,3.521833736073723,1.2030690786173825,0.46547497157973156,,,,,,,0.20177141992651065,-0.20177141992651065,True,target_depth not configured; using observed median depth
milling,CFRP,3,exploitation,4.0,2.0,,5.0,3.0,1.0,,,none,15.968345276179807,3.898890018842596,1.3350569439777722,0.5201161030805469,,,,,,,0.20381826886540005,-0.20381826886540005,True,target_depth not configured; using observed median depth
milling,CFRP,4,exploitation,4.0,2.0,,5.0,4.0,1.0,,,none,16.24524051784116,3.8243983163937245,1.3434783411217999,0.4845603450650401,,,,,,,0.20477730282644507,-0.20477730282644507,True,target_depth not configured; using observed median depth
milling,CFRP,5,exploitation,0.5,20.0,,2.0,1.0,5.0,,,none,16.214675576459022,5.593397584292062,1.5357114452293257,0.6152153411199496,,,,,,,0.2314883268013988,-0.2314883268013988,True,target_depth not configured; using observed median depth
milling,Diamond,1,exploitation,0.5,2.0,,5.0,7.0,0.05,,,none,62.006699203721766,3.591037214569183,-0.000742209135826899,0.19458105733766937,,,,,,,0.003240278345087117,-0.003240278345087117,True,target_depth not configured; using observed median depth
milling,Diamond,2,exploitation,0.223,2.0,,5.0,10.0,0.2,,,none,60.73352272220331,8.250568758651704,-0.04177899803749535,0.2294683113570938,,,,,,,0.006732647979042546,-0.006732647979042546,True,target_depth not configured; using observed median depth
milling,Diamond,3,exploitation,2.0,2.0,,4.0,7.0,0.05,,,none,62.33069096236822,3.7587936527785084,0.04152508491552709,0.19456357151160666,,,,,,,0.019050111140981804,-0.019050111140981804,True,target_depth not configured; using observed median depth
milling,Diamond,4,exploitation,0.223,2.0,,4.0,10.0,0.2,,,none,63.53393190217287,6.583401778355546,-0.014508235314894424,0.21087130147310906,,,,,,,0.024513274566743102,-0.024513274566743102,True,target_depth not configured; using observed median depth
milling,Diamond,5,exploitation,4.0,20.0,,1.0,4.0,0.5,,,none,62.164430519193274,5.477674808985421,0.0818848220569873,0.2074065356237589,,,,,,,0.026449529313798126,-0.026449529313798126,True,target_depth not configured; using observed median depth
milling,SiC,1,exploitation,0.5,2.0,,8.0,5.0,20.0,,,none,6.0148326847276365,0.5547793268775162,0.5015147750845925,0.06145169705140245,,,,,,,0.17339115527469512,-0.17339115527469512,True,target_depth not configured; using observed median depth
milling,SiC,2,exploitation,0.223,5.0,,10.0,4.0,20.0,,,none,6.589624113445149,0.5547793268775162,0.6594574633234906,0.06145169705140245,,,,,,,0.18508981610328568,-0.18508981610328568,True,target_depth not configured; using observed median depth
milling,SiC,3,exploitation,4.0,40.0,,2.0,5.0,50.0,,,none,6.18876956924389,0.5547793268775162,0.6374654434421247,0.06145169705140245,,,,,,,0.19897023113935253,-0.19897023113935253,True,target_depth not configured; using observed median depth
milling,SiC,4,exploitation,0.5,40.0,,2.0,1.0,50.0,,,none,7.785190285177567,0.5547793268775162,0.6894465813435344,0.06145169705140245,,,,,,,0.20993317842422887,-0.20993317842422887,True,target_depth not configured; using observed median depth
milling,SiC,5,exploitation,0.223,5.0,,10.0,5.0,20.0,,,none,7.374339368302964,0.5547793268775162,0.8313950733050761,0.06145169705140245,,,,,,,0.22555862903896906,-0.22555862903896906,True,target_depth not configured; using observed median depth
milling,ZrO2,1,exploitation,4.0,200.0,,8.0,2.0,11.0,,,none,35.44755632733133,4.581633961482194,0.23730743902169393,1.3598877612987599,,,,,,,0.06275518100448998,-0.06275518100448998,True,target_depth not configured; using observed median depth
milling,ZrO2,2,exploitation,4.0,200.0,,10.0,4.0,11.0,,,none,40.893967581654096,4.81555250388412,-0.2751754786450191,1.3624358596426858,,,,,,,0.08089807376370475,-0.08089807376370475,True,target_depth not configured; using observed median depth
