process_type,material,target,model,feature,importance_value,method,importance_rank
milling,Diamond,depth_um,RSM,scan_speed_mm_s,19.47337829572082,RSM_abs_coefficient,6
milling,Diamond,depth_um,RSM,log_scan_speed,18.694638929813006,RSM_abs_coefficient,7
milling,Diamond,depth_um,RSM,hatch_spacing_um,17.021352092640175,RSM_abs_coefficient,8
milling,Diamond,depth_um,RSM,log_hatch_spacing,14.655964231543061,RSM_abs_coefficient,9
milling,Diamond,depth_um,RSM,pulse_width_ps,12.383275186960043,RSM_abs_coefficient,10
milling,Diamond,depth_um,RSM,D_proxy,11.620846503672398,RSM_abs_coefficient,11
milling,Diamond,depth_um,RSM,pulse_density_proxy,11.620846503672398,RSM_abs_coefficient,12
milling,Diamond,depth_um,RSM,log_pulse_width,10.72054467031172,RSM_abs_coefficient,13
milling,Diamond,Sa_um,RSM,frequency_kHz,0.5551968074577543,RSM_abs_coefficient,1
milling,Diamond,Sa_um,RSM,hatch_spacing_um,0.5535075328813913,RSM_abs_coefficient,2
milling,Diamond,Sa_um,RSM,scan_speed_mm_s,0.5409285050446629,RSM_abs_coefficient,3
milling,Diamond,Sa_um,RSM,log_hatch_spacing,0.5255416125421762,RSM_abs_coefficient,4
milling,Diamond,Sa_um,RSM,log_frequency,0.4727735378341682,RSM_abs_coefficient,5
milling,Diamond,Sa_um,RSM,log_pulse_width,0.43993072555754986,RSM_abs_coefficient,6
milling,Diamond,Sa_um,RSM,pulse_width_ps,0.39859974321651515,RSM_abs_coefficient,7
milling,Diamond,Sa_um,RSM,log_passes,0.3745185556736218,RSM_abs_coefficient,8
milling,Diamond,Sa_um,RSM,pulse_spacing_um,0.36648591788985496,RSM_abs_coefficient,9
milling,Diamond,Sa_um,RSM,log_scan_speed,0.32658838983456934,RSM_abs_coefficient,10
milling,Diamond,Sa_um,RSM,D_proxy,0.2837145286090808,RSM_abs_coefficient,11
milling,Diamond,Sa_um,RSM,pulse_density_proxy,0.2837145286090808,RSM_abs_coefficient,12
milling,Diamond,Sa_um,RSM,passes,0.24877493575183957,RSM_abs_coefficient,13
milling,SiC,depth_um,RSM,frequency_kHz,62.518997612886835,RSM_abs_coefficient,1
milling,SiC,depth_um,RSM,scan_speed_mm_s,61.12834353665379,RSM_abs_coefficient,2
milling,SiC,depth_um,RSM,log_pulse_width,60.66047000802438,RSM_abs_coefficient,3
milling,SiC,depth_um,RSM,hatch_spacing_um,57.38030527617746,RSM_abs_coefficient,4
milling,SiC,depth_um,RSM,log_scan_speed,56.55164053607553,RSM_abs_coefficient,5
milling,SiC,depth_um,RSM,log_hatch_spacing,55.04692638970796,RSM_abs_coefficient,6
milling,SiC,depth_um,RSM,log_frequency,53.83531487146434,RSM_abs_coefficient,7
milling,SiC,depth_um,RSM,pulse_width_ps,53.19771918190069,RSM_abs_coefficient,8
milling,SiC,depth_um,RSM,log_passes,51.34507872500051,RSM_abs_coefficient,9
milling,SiC,depth_um,RSM,pulse_density_proxy,47.124434396351226,RSM_abs_coefficient,10
milling,SiC,depth_um,RSM,D_proxy,47.124434396351184,RSM_abs_coefficient,11
milling,SiC,depth_um,RSM,passes,39.43985582976204,RSM_abs_coefficient,12
milling,SiC,depth_um,RSM,pulse_spacing_um,37.07115962764959,RSM_abs_coefficient,13
milling,SiC,Sa_um,RSM,passes,7.310702251507247,RSM_abs_coefficient,1
milling,SiC,Sa_um,RSM,hatch_spacing_um,6.788718750459427,RSM_abs_coefficient,2
milling,SiC,Sa_um,RSM,log_passes,6.747901718732272,RSM_abs_coefficient,3
milling,SiC,Sa_um,RSM,frequency_kHz,6.735736356812005,RSM_abs_coefficient,4
milling,SiC,Sa_um,RSM,log_pulse_width,6.555883615474426,RSM_abs_coefficient,5
milling,SiC,Sa_um,RSM,scan_speed_mm_s,6.43689799726315,RSM_abs_coefficient,6
milling,SiC,Sa_um,RSM,log_scan_speed,6.310303961224435,RSM_abs_coefficient,7
milling,SiC,Sa_um,RSM,log_hatch_spacing,6.223240297062413,RSM_abs_coefficient,8
milling,SiC,Sa_um,RSM,pulse_width_ps,6.111508266350893,RSM_abs_coefficient,9
milling,SiC,Sa_um,RSM,log_frequency,5.9348232737529285,RSM_abs_coefficient,10
milling,SiC,Sa_um,RSM,pulse_density_proxy,5.652321929668731,RSM_abs_coefficient,11
milling,SiC,Sa_um,RSM,D_proxy,5.652321929668681,RSM_abs_coefficient,12
milling,SiC,Sa_um,RSM,pulse_spacing_um,3.4308210456929333,RSM_abs_coefficient,13
milling,ZrO2,depth_um,RSM,log_passes,25.368746583478465,RSM_abs_coefficient,1
milling,ZrO2,depth_um,RSM,log_frequency,22.214767527228876,RSM_abs_coefficient,2
milling,ZrO2,depth_um,RSM,passes,17.16899110228451,RSM_abs_coefficient,3
milling,ZrO2,depth_um,RSM,hatch_spacing_um,15.59576049002384,RSM_abs_coefficient,4
milling,ZrO2,depth_um,RSM,frequency_kHz,15.59011044838762,RSM_abs_coefficient,5
milling,ZrO2,depth_um,RSM,log_pulse_width,14.754662231537678,RSM_abs_coefficient,6
milling,ZrO2,depth_um,RSM,pulse_width_ps,14.556833429433885,RSM_abs_coefficient,7
milling,ZrO2,depth_um,RSM,log_hatch_spacing,13.068799308154993,RSM_abs_coefficient,8
milling,ZrO2,depth_um,RSM,log_scan_speed,12.632352885454882,RSM_abs_coefficient,9
milling,ZrO2,depth_um,RSM,pulse_density_proxy,10.049636934362224,RSM_abs_coefficient,10
milling,ZrO2,depth_um,RSM,D_proxy,10.049636934361954,RSM_abs_coefficient,11
milling,ZrO2,depth_um,RSM,pulse_spacing_um,9.761860649306945,RSM_abs_coefficient,12
milling,ZrO2,depth_um,RSM,scan_speed_mm_s,6.8517172221279985,RSM_abs_coefficient,13
milling,ZrO2,Sa_um,RSM,log_hatch_spacing,5.485871471753103,RSM_abs_coefficient,1
milling,ZrO2,Sa_um,RSM,frequency_kHz,5.335445573649876,RSM_abs_coefficient,2
milling,ZrO2,Sa_um,RSM,log_pulse_width,4.716207530333021,RSM_abs_coefficient,3
